h n1 d n2 err
764.000000 11.000000 0.450061 59.000000 0.163750
746.000000 9.000000 0.594521 61.000000 0.163750
741.000000 14.000000 0.839276 92.000000 0.163800
919.000000 8.000000 0.270941 72.000000 0.163800
615.000000 13.000000 0.716259 42.000000 0.163850
810.000000 13.000000 0.794829 35.000000 0.163850
836.000000 7.000000 0.334715 70.000000 0.163850
750.000000 11.000000 0.787710 16.000000 0.163900
671.000000 12.000000 0.654213 66.000000 0.163900
756.000000 8.000000 0.389436 34.000000 0.163900
731.000000 5.000000 0.294540 28.000000 0.163950
840.000000 3.000000 0.555720 79.000000 0.163950
824.000000 6.000000 0.337461 44.000000 0.164000
941.000000 2.000000 0.327766 85.000000 0.164000
988.000000 6.000000 0.719624 56.000000 0.164000
859.000000 8.000000 0.397175 37.000000 0.164000
760.000000 7.000000 0.490561 55.000000 0.164000
755.000000 11.000000 0.462474 17.000000 0.164050
816.000000 12.000000 0.478899 27.000000 0.164050
825.000000 6.000000 0.561347 87.000000 0.164050
736.000000 8.000000 0.512219 31.000000 0.164100
729.000000 5.000000 0.507908 60.000000 0.164150
619.000000 14.000000 0.688718 71.000000 0.164200
817.000000 9.000000 0.442423 45.000000 0.164200
767.000000 14.000000 0.821399 4.000000 0.164250
878.000000 6.000000 0.209193 54.000000 0.164250
811.000000 7.000000 0.395446 24.000000 0.164250
724.000000 7.000000 0.368816 67.000000 0.164250
722.000000 9.000000 0.457787 12.000000 0.164250
822.000000 11.000000 0.532814 46.000000 0.164300
769.000000 6.000000 0.494027 58.000000 0.164300
751.000000 9.000000 0.589740 61.000000 0.164300
741.000000 8.000000 0.471219 61.000000 0.164350
792.000000 6.000000 0.440772 67.000000 0.164350
741.000000 9.000000 0.568693 61.000000 0.164350
750.000000 8.000000 0.444046 58.000000 0.164400
725.000000 9.000000 0.470442 31.000000 0.164400
698.000000 13.000000 0.629599 42.000000 0.164450
668.000000 5.000000 0.523745 18.000000 0.164450
698.000000 9.000000 0.601584 48.000000 0.164450
805.000000 4.000000 0.433310 83.000000 0.164500
775.000000 13.000000 0.409334 48.000000 0.164550
745.000000 8.000000 0.453727 33.000000 0.164550
685.000000 6.000000 0.514893 87.000000 0.164600
700.000000 8.000000 0.558878 32.000000 0.164600
771.000000 6.000000 0.476368 37.000000 0.164650
778.000000 9.000000 0.426542 34.000000 0.164650
837.000000 8.000000 0.392255 44.000000 0.164650
706.000000 10.000000 0.514734 44.000000 0.164650
929.000000 6.000000 0.107075 71.000000 0.164700
660.000000 13.000000 0.805878 81.000000 0.164700
744.000000 12.000000 0.799261 39.000000 0.164700
686.000000 11.000000 0.543062 38.000000 0.164700
824.000000 7.000000 0.307794 35.000000 0.164700
864.000000 10.000000 0.895914 39.000000 0.164750
887.000000 11.000000 0.343784 16.000000 0.164750
794.000000 6.000000 0.725022 81.000000 0.164800
815.000000 9.000000 0.433715 9.000000 0.164850
746.000000 7.000000 0.489798 52.000000 0.164850
755.000000 5.000000 0.691003 20.000000 0.164900
691.000000 7.000000 0.643254 58.000000 0.164900
797.000000 8.000000 0.459307 47.000000 0.164900
773.000000 7.000000 0.450766 49.000000 0.164900
698.000000 8.000000 0.497005 68.000000 0.164950
674.000000 11.000000 0.620633 9.000000 0.164950
769.000000 11.000000 0.877402 33.000000 0.165000
755.000000 13.000000 0.418184 2.000000 0.165000
663.000000 13.000000 0.514916 24.000000 0.165000
766.000000 10.000000 0.731968 63.000000 0.165050
758.000000 7.000000 0.445331 62.000000 0.165050
813.000000 7.000000 0.844698 91.000000 0.165100
907.000000 8.000000 0.204895 33.000000 0.165100
737.000000 6.000000 0.366474 24.000000 0.165200
768.000000 7.000000 0.672397 58.000000 0.165200
931.000000 5.000000 0.880123 44.000000 0.165200
732.000000 6.000000 0.377977 34.000000 0.165200
803.000000 9.000000 0.443605 50.000000 0.165200
885.000000 12.000000 0.841147 29.000000 0.165250
814.000000 2.000000 0.306075 86.000000 0.165250
787.000000 5.000000 0.207140 63.000000 0.165250
781.000000 6.000000 0.305628 32.000000 0.165300
831.000000 9.000000 0.300965 35.000000 0.165350
723.000000 9.000000 0.482816 24.000000 0.165350
741.000000 6.000000 0.313012 22.000000 0.165350
780.000000 9.000000 0.778699 35.000000 0.165500
715.000000 10.000000 0.578500 46.000000 0.165500
806.000000 10.000000 0.353810 52.000000 0.165550
716.000000 7.000000 0.382449 42.000000 0.165550
740.000000 6.000000 0.368532 25.000000 0.165550
750.000000 5.000000 0.400520 87.000000 0.165650
729.000000 8.000000 0.424786 34.000000 0.165650
749.000000 7.000000 0.461480 52.000000 0.165650
748.000000 10.000000 0.610008 32.000000 0.165650
938.000000 7.000000 0.155528 9.000000 0.165700
781.000000 4.000000 0.696325 56.000000 0.165700
795.000000 5.000000 0.836416 36.000000 0.165750
719.000000 7.000000 0.493443 41.000000 0.165750
799.000000 5.000000 0.234421 21.000000 0.165750
771.000000 9.000000 0.446679 57.000000 0.165800
791.000000 7.000000 0.467611 45.000000 0.165800
753.000000 7.000000 0.495848 54.000000 0.165800
665.000000 11.000000 0.404854 15.000000 0.165850
815.000000 5.000000 0.372710 67.000000 0.165900
683.000000 6.000000 0.761716 74.000000 0.165950
693.000000 11.000000 0.543001 60.000000 0.166000
717.000000 4.000000 0.374735 43.000000 0.166000
885.000000 12.000000 0.330209 38.000000 0.166000
885.000000 5.000000 0.652380 25.000000 0.166000
666.000000 15.000000 0.857424 36.000000 0.166000
926.000000 7.000000 0.246480 36.000000 0.166000
831.000000 8.000000 0.284045 60.000000 0.166050
796.000000 4.000000 0.381496 27.000000 0.166050
629.000000 10.000000 0.532540 77.000000 0.166100
614.000000 9.000000 0.508284 56.000000 0.166100
584.000000 10.000000 0.560584 20.000000 0.166100
763.000000 9.000000 0.329998 16.000000 0.166100
670.000000 8.000000 0.536095 6.000000 0.166150
730.000000 7.000000 0.796070 50.000000 0.166150
702.000000 3.000000 0.260748 90.000000 0.166200
649.000000 13.000000 0.799569 58.000000 0.166200
813.000000 10.000000 0.409891 72.000000 0.166200
649.000000 9.000000 0.598873 28.000000 0.166200
980.000000 7.000000 0.090034 23.000000 0.166250
699.000000 8.000000 0.335424 35.000000 0.166250
612.000000 10.000000 0.757750 79.000000 0.166250
639.000000 10.000000 0.606398 42.000000 0.166250
684.000000 9.000000 0.519398 26.000000 0.166300
722.000000 9.000000 0.605123 58.000000 0.166300
874.000000 9.000000 0.746413 57.000000 0.166300
713.000000 8.000000 0.550662 32.000000 0.166350
733.000000 6.000000 0.488346 77.000000 0.166400
728.000000 9.000000 0.736341 55.000000 0.166450
784.000000 11.000000 0.357473 36.000000 0.166500
792.000000 8.000000 0.277680 88.000000 0.166550
704.000000 8.000000 0.497848 48.000000 0.166550
733.000000 6.000000 0.336362 33.000000 0.166600
732.000000 10.000000 0.436150 48.000000 0.166600
649.000000 8.000000 0.562016 29.000000 0.166600
602.000000 7.000000 0.585597 69.000000 0.166650
818.000000 7.000000 0.314969 36.000000 0.166650
880.000000 11.000000 0.145471 38.000000 0.166700
684.000000 8.000000 0.744601 30.000000 0.166700
715.000000 10.000000 0.454433 48.000000 0.166750
821.000000 7.000000 0.420616 60.000000 0.166750
747.000000 13.000000 0.482321 74.000000 0.166800
645.000000 7.000000 0.630572 88.000000 0.166800
742.000000 10.000000 0.428756 68.000000 0.166800
776.000000 7.000000 0.008672 9.000000 0.166850
738.000000 5.000000 0.341872 29.000000 0.166850
719.000000 8.000000 0.421970 87.000000 0.166900
816.000000 11.000000 0.247920 17.000000 0.166900
813.000000 7.000000 0.615073 25.000000 0.166900
773.000000 6.000000 0.296281 31.000000 0.166950
740.000000 6.000000 0.360343 30.000000 0.166950
746.000000 5.000000 0.426192 29.000000 0.166950
718.000000 5.000000 0.479429 27.000000 0.166950
567.000000 15.000000 0.825581 91.000000 0.167000
620.000000 7.000000 0.591305 32.000000 0.167000
698.000000 8.000000 0.606123 51.000000 0.167050
703.000000 7.000000 0.411122 49.000000 0.167050
860.000000 10.000000 0.297530 66.000000 0.167100
681.000000 4.000000 0.542603 37.000000 0.167100
707.000000 5.000000 0.342507 19.000000 0.167100
721.000000 9.000000 0.592391 50.000000 0.167100
797.000000 8.000000 0.198745 21.000000 0.167200
782.000000 10.000000 0.776840 65.000000 0.167200
649.000000 6.000000 0.436742 51.000000 0.167250
825.000000 4.000000 0.070168 74.000000 0.167250
711.000000 9.000000 0.430530 48.000000 0.167250
753.000000 4.000000 0.827716 91.000000 0.167300
738.000000 7.000000 0.330969 25.000000 0.167300
859.000000 5.000000 0.678702 93.000000 0.167400
739.000000 6.000000 0.517239 60.000000 0.167400
829.000000 6.000000 0.695572 44.000000 0.167450
746.000000 6.000000 0.281025 25.000000 0.167500
894.000000 9.000000 0.219874 18.000000 0.167600
709.000000 4.000000 0.419850 63.000000 0.167600
844.000000 5.000000 0.219745 77.000000 0.167650
719.000000 4.000000 0.585768 92.000000 0.167700
581.000000 11.000000 0.422687 12.000000 0.167700
842.000000 6.000000 0.203398 75.000000 0.167700
689.000000 6.000000 0.777130 95.000000 0.167750
805.000000 5.000000 0.231060 33.000000 0.167750
674.000000 12.000000 0.534248 47.000000 0.167800
653.000000 9.000000 0.335504 77.000000 0.167850
683.000000 8.000000 0.497726 70.000000 0.167850
719.000000 11.000000 0.414660 30.000000 0.167850
707.000000 5.000000 0.395800 22.000000 0.167850
804.000000 7.000000 0.216882 21.000000 0.167900
668.000000 7.000000 0.450036 53.000000 0.167900
718.000000 8.000000 0.449453 55.000000 0.167900
719.000000 7.000000 0.336373 14.000000 0.167950
765.000000 5.000000 0.206135 87.000000 0.167950
