h n1 d n2 e err
973.000000 1.000000 0.037530 40.000000 6.000000 0.153600
983.000000 6.000000 0.099330 30.000000 6.000000 0.153600
944.000000 8.000000 0.074493 15.000000 6.000000 0.153600
993.000000 2.000000 0.129560 47.000000 8.000000 0.153650
995.000000 4.000000 0.091164 48.000000 5.000000 0.153650
958.000000 4.000000 0.090010 16.000000 5.000000 0.153650
968.000000 4.000000 0.125721 14.000000 5.000000 0.153650
844.000000 8.000000 0.062543 8.000000 5.000000 0.153700
960.000000 7.000000 0.216636 17.000000 4.000000 0.153700
957.000000 5.000000 0.090569 24.000000 5.000000 0.153700
976.000000 5.000000 0.247840 11.000000 3.000000 0.153750
939.000000 7.000000 0.076672 26.000000 6.000000 0.153750
848.000000 9.000000 0.084710 9.000000 5.000000 0.153800
980.000000 5.000000 0.150817 24.000000 6.000000 0.153800
961.000000 7.000000 0.126982 27.000000 5.000000 0.153800
956.000000 5.000000 0.060166 29.000000 6.000000 0.153850
977.000000 4.000000 0.148381 23.000000 7.000000 0.153900
983.000000 11.000000 0.171931 40.000000 2.000000 0.153900
983.000000 2.000000 0.117331 18.000000 7.000000 0.153950
985.000000 2.000000 0.062807 35.000000 6.000000 0.153950
973.000000 6.000000 0.072789 10.000000 4.000000 0.153950
975.000000 3.000000 0.097850 29.000000 5.000000 0.154000
956.000000 4.000000 0.095155 17.000000 5.000000 0.154000
956.000000 6.000000 0.067472 12.000000 8.000000 0.154050
934.000000 4.000000 0.012282 18.000000 5.000000 0.154050
927.000000 7.000000 0.077112 23.000000 5.000000 0.154050
970.000000 3.000000 0.103750 26.000000 5.000000 0.154150
973.000000 6.000000 0.181466 29.000000 6.000000 0.154150
983.000000 6.000000 0.102865 31.000000 6.000000 0.154200
987.000000 4.000000 0.086440 37.000000 8.000000 0.154200
976.000000 5.000000 0.095531 40.000000 5.000000 0.154200
977.000000 5.000000 0.219330 5.000000 3.000000 0.154250
976.000000 2.000000 0.067072 42.000000 5.000000 0.154250
930.000000 7.000000 0.125082 18.000000 4.000000 0.154250
960.000000 3.000000 0.045192 30.000000 5.000000 0.154300
959.000000 3.000000 0.058291 24.000000 6.000000 0.154300
970.000000 9.000000 0.096951 19.000000 5.000000 0.154300
975.000000 5.000000 0.094128 14.000000 5.000000 0.154350
950.000000 8.000000 0.092406 18.000000 5.000000 0.154350
966.000000 7.000000 0.078787 18.000000 6.000000 0.154350
927.000000 2.000000 0.019729 39.000000 6.000000 0.154400
984.000000 6.000000 0.103181 52.000000 5.000000 0.154400
929.000000 7.000000 0.122739 17.000000 4.000000 0.154450
867.000000 4.000000 0.014272 4.000000 10.000000 0.154500
963.000000 6.000000 0.008260 48.000000 6.000000 0.154500
966.000000 3.000000 0.330442 8.000000 3.000000 0.154550
999.000000 4.000000 0.034711 36.000000 14.000000 0.154650
846.000000 5.000000 0.101753 7.000000 4.000000 0.154650
971.000000 6.000000 0.074388 25.000000 7.000000 0.154650
971.000000 5.000000 0.082517 23.000000 6.000000 0.154650
844.000000 4.000000 0.154909 5.000000 4.000000 0.154700
972.000000 3.000000 0.173112 25.000000 5.000000 0.154750
933.000000 3.000000 0.061939 21.000000 6.000000 0.154750
978.000000 5.000000 0.168078 25.000000 6.000000 0.154750
929.000000 8.000000 0.054241 31.000000 6.000000 0.154800
985.000000 4.000000 0.112379 34.000000 5.000000 0.154800
956.000000 4.000000 0.063849 22.000000 6.000000 0.154900
969.000000 5.000000 0.047758 48.000000 8.000000 0.154900
834.000000 7.000000 0.049399 59.000000 4.000000 0.154950
959.000000 7.000000 0.105525 22.000000 5.000000 0.154950
850.000000 11.000000 0.110515 13.000000 6.000000 0.155000
942.000000 7.000000 0.083780 26.000000 4.000000 0.155050
970.000000 5.000000 0.144735 35.000000 7.000000 0.155100
956.000000 3.000000 0.074605 20.000000 6.000000 0.155100
967.000000 5.000000 0.278396 19.000000 3.000000 0.155200
962.000000 5.000000 0.060666 18.000000 7.000000 0.155200
927.000000 7.000000 0.008158 22.000000 9.000000 0.155200
991.000000 3.000000 0.190525 6.000000 3.000000 0.155250
953.000000 6.000000 0.011199 24.000000 8.000000 0.155250
969.000000 4.000000 0.100708 29.000000 7.000000 0.155300
963.000000 4.000000 0.088077 27.000000 7.000000 0.155300
859.000000 7.000000 0.119073 5.000000 4.000000 0.155350
964.000000 2.000000 0.096820 46.000000 8.000000 0.155350
946.000000 6.000000 0.060694 16.000000 7.000000 0.155350
983.000000 2.000000 0.112766 20.000000 8.000000 0.155350
941.000000 4.000000 0.016314 17.000000 7.000000 0.155350
873.000000 4.000000 0.244122 6.000000 8.000000 0.155550
958.000000 4.000000 0.106876 13.000000 6.000000 0.155600
828.000000 7.000000 0.142825 55.000000 3.000000 0.155650
938.000000 3.000000 0.021244 22.000000 7.000000 0.155650
986.000000 1.000000 0.065939 31.000000 7.000000 0.155650
834.000000 3.000000 0.164995 4.000000 5.000000 0.155700
973.000000 3.000000 0.107691 28.000000 6.000000 0.155750
974.000000 5.000000 0.162350 22.000000 6.000000 0.155750
875.000000 4.000000 0.032889 5.000000 9.000000 0.155800
925.000000 6.000000 0.242178 25.000000 13.000000 0.155850
980.000000 5.000000 0.004533 47.000000 6.000000 0.155850
954.000000 3.000000 0.058588 21.000000 6.000000 0.155950
983.000000 4.000000 0.109978 52.000000 9.000000 0.155950
943.000000 5.000000 0.023932 18.000000 9.000000 0.156000
976.000000 3.000000 0.068419 40.000000 6.000000 0.156000
992.000000 3.000000 0.290008 4.000000 6.000000 0.156000
842.000000 5.000000 0.154341 3.000000 4.000000 0.156050
934.000000 4.000000 0.221675 27.000000 11.000000 0.156100
976.000000 4.000000 0.033888 32.000000 6.000000 0.156150
966.000000 1.000000 0.065187 42.000000 6.000000 0.156150
873.000000 6.000000 0.041332 4.000000 11.000000 0.156200
974.000000 4.000000 0.107394 47.000000 10.000000 0.156250
958.000000 10.000000 0.056370 5.000000 8.000000 0.156250
980.000000 6.000000 0.167045 35.000000 7.000000 0.156250
969.000000 5.000000 0.189066 14.000000 5.000000 0.156250
875.000000 3.000000 0.135761 7.000000 9.000000 0.156350
864.000000 6.000000 0.240518 3.000000 8.000000 0.156350
864.000000 6.000000 0.114663 6.000000 9.000000 0.156400
862.000000 5.000000 0.051411 4.000000 10.000000 0.156400
985.000000 3.000000 0.103844 39.000000 7.000000 0.156450
982.000000 3.000000 0.271064 5.000000 4.000000 0.156450
971.000000 4.000000 0.083172 31.000000 6.000000 0.156450
853.000000 5.000000 0.220875 28.000000 5.000000 0.156550
857.000000 4.000000 0.188260 4.000000 3.000000 0.156550
826.000000 8.000000 0.034319 59.000000 4.000000 0.156550
958.000000 7.000000 0.270111 17.000000 15.000000 0.156650
952.000000 5.000000 0.093059 30.000000 6.000000 0.156650
927.000000 2.000000 0.072896 42.000000 9.000000 0.156700
902.000000 5.000000 0.090447 5.000000 11.000000 0.156700
980.000000 2.000000 0.035421 37.000000 16.000000 0.156700
833.000000 7.000000 0.072783 62.000000 5.000000 0.156750
873.000000 3.000000 0.214945 12.000000 6.000000 0.156800
963.000000 5.000000 0.135074 28.000000 6.000000 0.156800
971.000000 5.000000 0.207232 41.000000 14.000000 0.156850
983.000000 2.000000 0.089862 40.000000 2.000000 0.156850
975.000000 3.000000 0.092397 49.000000 7.000000 0.156950
987.000000 6.000000 0.121182 45.000000 12.000000 0.157000
971.000000 3.000000 0.305213 7.000000 6.000000 0.157050
962.000000 6.000000 0.077313 6.000000 7.000000 0.157050
839.000000 4.000000 0.089494 6.000000 6.000000 0.157100
963.000000 5.000000 0.054807 16.000000 9.000000 0.157150
973.000000 2.000000 0.246500 2.000000 7.000000 0.157150
959.000000 5.000000 0.137625 28.000000 6.000000 0.157150
843.000000 8.000000 0.033418 13.000000 3.000000 0.157200
873.000000 4.000000 0.201141 8.000000 10.000000 0.157200
892.000000 6.000000 0.109383 4.000000 10.000000 0.157250
927.000000 3.000000 0.220727 51.000000 9.000000 0.157300
977.000000 2.000000 0.302766 7.000000 5.000000 0.157350
865.000000 4.000000 0.115701 4.000000 7.000000 0.157400
917.000000 4.000000 0.225928 50.000000 7.000000 0.157550
939.000000 2.000000 0.141704 23.000000 11.000000 0.157550
926.000000 1.000000 0.072481 21.000000 11.000000 0.157550
940.000000 6.000000 0.235033 24.000000 10.000000 0.157550
957.000000 3.000000 0.084586 41.000000 7.000000 0.157550
912.000000 3.000000 0.019729 40.000000 7.000000 0.157600
814.000000 6.000000 0.227465 47.000000 5.000000 0.157600
828.000000 3.000000 0.170778 7.000000 5.000000 0.157700
1000.000000 4.000000 0.047826 35.000000 12.000000 0.157750
862.000000 7.000000 0.140371 1.000000 8.000000 0.157800
964.000000 1.000000 0.020425 38.000000 7.000000 0.157800
856.000000 6.000000 0.184009 28.000000 6.000000 0.157850
802.000000 2.000000 0.023324 25.000000 5.000000 0.157900
869.000000 3.000000 0.164498 14.000000 7.000000 0.157950
962.000000 4.000000 0.276542 37.000000 12.000000 0.158050
983.000000 5.000000 0.182982 33.000000 7.000000 0.158050
821.000000 5.000000 0.190744 43.000000 3.000000 0.158100
976.000000 2.000000 0.082289 45.000000 7.000000 0.158100
989.000000 1.000000 0.037485 32.000000 5.000000 0.158100
947.000000 5.000000 0.041058 13.000000 9.000000 0.158100
864.000000 4.000000 0.188939 10.000000 9.000000 0.158150
800.000000 4.000000 0.034236 28.000000 4.000000 0.158300
980.000000 7.000000 0.298034 41.000000 13.000000 0.158300
963.000000 7.000000 0.338713 43.000000 14.000000 0.158300
872.000000 2.000000 0.203111 11.000000 6.000000 0.158450
930.000000 2.000000 0.131819 23.000000 10.000000 0.158500
954.000000 6.000000 0.026878 49.000000 11.000000 0.158500
916.000000 2.000000 0.169422 26.000000 12.000000 0.158550
972.000000 1.000000 0.015667 37.000000 4.000000 0.158600
866.000000 5.000000 0.138468 4.000000 9.000000 0.158650
959.000000 1.000000 0.048128 10.000000 4.000000 0.158700
825.000000 6.000000 0.168454 51.000000 4.000000 0.158750
994.000000 4.000000 0.039393 32.000000 14.000000 0.158900
865.000000 3.000000 0.254875 11.000000 8.000000 0.158900
977.000000 2.000000 0.286756 4.000000 7.000000 0.158900
787.000000 2.000000 0.044799 27.000000 3.000000 0.158950
827.000000 2.000000 0.030527 7.000000 10.000000 0.159000
980.000000 2.000000 0.198566 42.000000 7.000000 0.159000
924.000000 1.000000 0.091779 38.000000 7.000000 0.159050
926.000000 1.000000 0.023777 22.000000 4.000000 0.159050
865.000000 3.000000 0.033957 3.000000 8.000000 0.159150
991.000000 4.000000 0.129073 48.000000 9.000000 0.159150
749.000000 7.000000 0.174439 15.000000 7.000000 0.159200
902.000000 6.000000 0.142867 3.000000 10.000000 0.159300
882.000000 2.000000 0.180294 8.000000 8.000000 0.159350
1000.000000 2.000000 0.200021 51.000000 8.000000 0.159450
907.000000 2.000000 0.150920 26.000000 9.000000 0.159700
957.000000 1.000000 0.095459 49.000000 9.000000 0.159850
754.000000 6.000000 0.126725 18.000000 6.000000 0.160300
859.000000 4.000000 0.217581 5.000000 5.000000 0.160300
853.000000 2.000000 0.189494 6.000000 6.000000 0.160350
852.000000 5.000000 0.031697 32.000000 14.000000 0.160400
924.000000 4.000000 0.218209 25.000000 9.000000 0.160650
808.000000 6.000000 0.141139 50.000000 6.000000 0.160800
974.000000 2.000000 0.317058 4.000000 6.000000 0.160950
975.000000 4.000000 0.174489 23.000000 2.000000 0.160950
812.000000 3.000000 0.245206 18.000000 14.000000 0.161000
975.000000 1.000000 0.104298 37.000000 7.000000 0.161000
995.000000 3.000000 0.278238 11.000000 3.000000 0.161050
934.000000 3.000000 0.241123 26.000000 12.000000 0.161100
804.000000 7.000000 0.111223 33.000000 10.000000 0.161200
844.000000 6.000000 0.161365 2.000000 2.000000 0.161200
971.000000 1.000000 0.076351 11.000000 8.000000 0.161200
732.000000 4.000000 0.186925 46.000000 11.000000 0.161600
794.000000 4.000000 0.296965 43.000000 12.000000 0.161800
855.000000 2.000000 0.162559 7.000000 8.000000 0.161800
